transType,value,input,context
Order-Status,1084.39,"6,7,0,ESEABLEPRI","0,0.0,480000,19535.7136540625"
Order-Status,1079.3200000000002,"15,2,0,EINGABLEESE","0,0.0,480000,19535.7136540625"
Order-Status,433.12,"13,9,2647,null","0,0.0,480000,19535.7136540625"
New-Order,610.30977663264,"13,9,1531,0,88854,7,97357,7,80850,9,98754,1,72150,9,97101,3,86738,2,97310,9","0,0.0,480000,19535.7136540625"
New-Order,1961.0047536710397,"15,4,1663,0,89142,9,93236,3,91094,9,76293,2,86482,7,66854,1,77967,6,80422,5,85012,3,89102,6,99286,7,96342,6,85070,8,64564,9,95030,8","0,0.0,480000,19535.7136540625"
New-Order,967.4613323952499,"15,3,2619,0,92754,6,70706,4,69718,10,73046,5,99396,8,88597,5,60244,5,99974,8,62994,1,70684,6,64406,9,81844,5,97278,5","0,0.0,480000,19535.7136540625"
New-Order,19771.4837523588,"8,6,1631,0,11172,8,17883,8,2820,1,2861,4,17246,2,6302,4,2786,5,13790,7,17870,1,13182,9,13271,10,9609,1,13758,9","0,0.0,480000,19535.7136540625"
New-Order,312.87367747999997,"3,4,455,0,88142,8,89105,5,97364,2,69521,2,72271,10,69198,7","0,0.0,480000,19535.7136540625"
New-Order,1261.1507731115998,"3,1,519,0,51117,9,23924,2,21389,10,48322,10,24438,1,23508,2,32018,6,39414,9,56726,6","0,0.0,480000,19535.7136540625"
New-Order,496.8342658125,"8,2,2587,0,87892,1,72406,6,72378,3,69206,1,65494,4,97173,9,68596,6,88854,5,78663,2,80502,3,87510,6,70614,3,68688,1","0,0.0,480000,19535.7136540625"
New-Order,22477.997581242835,"11,1,1131,0,19646,9,15837,6,17885,8,13764,3,9422,4,13268,5,12238,2,6754,10,2085,10,9180,4","0,0.0,480000,19535.7136540625"
New-Order,3399.1612316752994,"6,8,2398,0,53270,2,46421,10,32770,9,37650,10,34324,6,58833,4,39347,9,25006,4,57046,1,35701,7,39135,8,51990,7,56326,2","0,0.0,480000,19535.7136540625"
New-Order,18422.905803119997,"15,10,575,0,9149,3,2454,8,2944,7,12240,7,13528,9,19165,5,13654,9,11146,2,2918,4","0,0.0,480000,19535.7136540625"
Delivery,25172.27,"8,0,0","0,0.0,480000,19535.7136540625"
New-Order,944.5469804700301,"13,5,2669,0,57318,6,46866,6,57100,2,56786,5,56272,5,58338,5,26513,4,54278,6,36886,6","0,0.0,480000,19535.7136540625"
New-Order,1046.5506107691597,"4,8,1662,0,84014,5,66373,7,71692,7,61194,3,63506,2,97026,9,97301,10,90710,5,62666,10,88142,10,91206,9,76872,10,90002,6","0,0.0,480000,19535.7136540625"
New-Order,2567.58960929856,"6,10,710,0,32709,5,36850,6,22430,9,23140,5,51018,6,30469,1,38597,8,39891,1,20180,4,55412,5,32486,4,31699,6,32598,3,55173,5","0,0.0,480000,19535.7136540625"
New-Order,1171.4721005568,"4,3,671,0,32774,2,29365,1,40845,8,35851,4,26638,5,57238,3,38502,5,24006,5,22485,2,40453,1,54542,10","0,0.0,480000,19535.7136540625"
New-Order,0.0,"15,1,1407,0","10,10807.042,480000,19535.7136540625"
New-Order,544.3198451711999,"4,3,99,0,80966,10,65045,3,64915,3,71734,10,76598,5,72545,6,89124,3","13,8983.77846153846,480000,19535.7136540625"
New-Order,1065.7024645049999,"11,6,2991,0,40978,7,49107,5,36804,6,43766,10,47826,4,48974,7,24531,4","9,8983.634444444444,480000,19535.7136540625"
New-Order,1134.12011635692,"8,5,582,0,80918,6,65430,9,97210,3,75862,5,79820,7,68682,1,71996,5,90686,3,72722,9,72146,10,80832,1,79190,3","4,9194.785,480000,19535.7136540625"
Payment,737.1890999999999,,"1,910.1100000000001,480000,19535.7136540625"
Delivery,2557.9049999999997,"8,0,0","14,8503.997857142856,480000,19535.7136540625"
New-Order,3057.67272178368,"8,6,559,0,40834,10,30675,7,36843,8,55311,1,40790,6,20694,7,21457,6,38670,10,20810,8,49166,8,57090,10","7,5893.905714285714,480000,19535.7136540625"
Payment,352.4391,,"14,8503.997857142856,480000,19535.7136540625"
New-Order,1345876.6848117555,"3,6,2490,0,398,8,670,9,254,10,638,6,245,2,324,7,469,2,925,9,606,9","5,7442.85,480000,19535.7136540625"
New-Order,21360.274752274498,"15,9,2711,0,11670,1,7529,10,2901,2,13748,5,19838,1,1951,10,11742,8,13116,1,11421,9,13521,3,17886,8,13230,9,18653,5,13785,7","2,1659.09,480000,19535.7136540625"
Payment,3842.0280000000002,,"13,8983.77846153846,480000,19535.7136540625"
Payment,28426.682699999998,,"3,1629.4766666666667,480000,19535.7136540625"
New-Order,2155.13218259829,"13,5,1663,0,54468,9,40950,7,31574,8,28302,4,40197,8,28196,5,55062,7,28662,4,53994,7","11,10042.055454545454,480000,19535.7136540625"
Order-Status,2116.02,"15,1,0,PRESOUGHTPRI","19,112947.01368421051,480002,19535.63505812476"
Order-Status,826.23,"3,3,0,ANTICALLYPRI","18,117127.20611111111,480002,19535.63505812476"
Order-Status,1674.1800000000003,"8,8,1531,null","18,7100.951111111111,480001,19535.674850802396"
Order-Status,1336.13,"15,5,0,ATIONOUGHTANTI","17,123919.39235294117,480004,19535.635667119444"
Stock-Level,5500.4450000000015,"1,2","0,0.0,480000,19535.7136540625"
Payment,3645.5670000000005,,"17,7228.2876470588235,480001,19535.674850802396"
New-Order,2665.5263904171006,"13,8,1663,0,52694,5,49166,1,39344,6,43764,7,36629,4,36870,9,21459,5,25253,10,39950,10","18,117226.44444444444,480004,19535.635667119444"
Payment,1666.6479000000002,,"9,8983.634444444444,480000,19535.7136540625"
New-Order,1877.6292804674997,"4,7,1830,0,32469,7,53140,2,48635,10,25297,8,21458,8,48253,1","17,7493.059411764705,480002,19535.63505812476"
New-Order,1686.07030369932,"11,3,499,0,48502,4,57134,7,21440,8,46869,9,21334,1,52708,10,23474,3,49170,5,40182,2","17,7204.415882352941,480000,19535.7136540625"
New-Order,340.11744745978984,"6,3,1642,0,72600,9,77812,3,71630,5,71750,2,86730,3,79498,4,72278,10","17,123919.39235294117,480004,19535.635667119444"
Payment,2359.4894999999997,,"15,7937.064666666666,480000,19535.7136540625"
New-Order,2324.2193948629592,"4,5,2663,0,40845,9,32786,5,30646,3,52838,8,23158,9,31682,9,36854,9,43006,10,24004,5,57333,3,56581,7,48854,4,24926,2,32710,5","16,7502.4887499999995,480000,19535.7136540625"
Order-Status,1401.23,"4,2,0,ATIONOUGHTEING","20,105724.60599999996,480007,19535.533302639345"
New-Order,13953.100112589118,"15,3,563,0,13758,1,10308,1,13756,2,2725,3,13781,1,18684,8,7594,9,17758,10","18,117226.44444444444,480004,19535.635667119444"
Delivery,35166.465000000004,"15,0,0","18,117226.44444444444,480004,19535.635667119444"
New-Order,3502.43539814,"3,4,2489,0,24450,10,40853,6,32149,4,45045,1,55316,8,48981,9,49132,3,40694,10,45051,2,48901,5,51857,6,49173,6,59374,1","18,117226.44444444444,480004,19535.635667119444"
New-Order,668.3214717874799,"8,5,711,0,88980,1,76874,10,89074,10,88150,6,63310,3","17,7228.2876470588235,480001,19535.674850802396"
New-Order,1734.6286629302404,"6,7,127,0,51734,10,49142,9,42726,8,28685,9,57078,3,20502,2,28627,6","18,117185.08166666665,480006,19535.56793258835"
New-Order,1024.1255058468,"1,5,1625,0,94481,7,88880,7,80470,7,80446,8,71958,8,69462,6,88784,8,72530,10,72212,7","18,117226.44444444444,480004,19535.635667119444"
New-Order,475.41706958591993,"13,9,2317,0,92734,1,87282,5,69374,5,65557,2,68673,3,68776,10,97014,9,72134,5,72726,1","17,123857.3705882353,480005,19535.604344663083"
Payment,2359.4894999999997,,"6,6687.866666666666,480000,19535.7136540625"
Payment,1836.1485,,"18,6877.277777777777,480000,19535.7136540625"
New-Order,7891.794171446219,"15,6,695,0,1780,1,13566,2,13748,9,1508,8,9638,6","21,101623.54095238092,480007,19535.533302639345"
New-Order,10030.97651811808,"15,5,711,0,10018,1,13468,1,17846,4,16325,3,2978,5,12962,7,10714,5","19,111022.71210526313,480007,19535.533302639345"
New-Order,696.2608997567999,"4,2,159,0,76804,1,61453,4,88918,5,96821,1,71760,7,84638,9,72723,5,85792,5,88278,5,89154,3,69718,7,96724,3","20,105724.60599999996,480007,19535.533302639345"
Payment,3998.3463,,"18,117226.44444444444,480004,19535.635667119444"
Payment,30539.875500000006,,"20,105617.22399999997,480006,19535.56793258835"
Payment,2039.8878000000004,,"17,123941.68058823528,480006,19535.56793258835"
New-Order,13685.21032453568,"8,7,198,0,17756,1,2403,10,8414,2,13387,5,14526,1,13086,9,2950,5,2980,8","23,93003.40434782606,480007,19535.533302639345"
New-Order,37656.01458897277,"6,8,599,0,2722,8,12638,4,2946,2,13790,10,13265,8,19406,6,9178,7,1308,4,2982,3,13470,3,7646,5,1830,4,15324,9,2142,10","24,89229.32999999997,480007,19535.533302639345"
New-Order,2683.597015229619,"15,3,199,0,34579,4,46086,3,37643,4,32262,4,40978,6,29333,4,22628,8,39953,1,36566,1,47986,8,26608,8,54705,3,59410,6","21,101623.54095238092,480007,19535.533302639345"
Payment,1604535.237,,"25,85641.34479999998,480008,19535.49867283463"
Payment,1950.5366999999999,,"18,117185.08166666665,480006,19535.56793258835"
Payment,4099.077899999999,,"23,93003.40434782606,480007,19535.533302639345"
New-Order,1147.3366555837197,"8,4,2687,0,96807,6,70094,4,60990,3,99414,10,62997,4,78934,3,83780,8,91220,10,60950,10","24,89115.28208333331,480009,19535.46269715777"
Delivery,18376.54,"8,0,0","24,88340.45583333331,480012,19535.43468071632"
New-Order,758.7951197777999,"13,7,679,0,97106,6,79998,5,62350,2,62740,5,64694,2,76854,1,74836,4,70694,4,68694,8,87126,2,87080,3,80334,10,93270,9,89166,1","24,88340.45583333331,480012,19535.43468071632"
New-Order,526.8267097004099,"6,6,2687,0,64206,6,72271,10,80726,1,72612,3,88657,5,92207,9,78153,1,65430,2,64560,3,71696,8,62996,6","24,88340.45583333331,480012,19535.43468071632"
Payment,1937.6739,,"26,82459.48346153843,480007,19535.533302639345"
Payment,3764.115,,"26,82459.48346153843,480007,19535.533302639345"
New-Order,336.1331533061599,"3,9,2553,0,65046,1,76886,10,76598,8,80462,2,61910,5,89174,9","24,8485.407916666638,480015,19539.45490936742"
New-Order,13310.652249248618,"6,4,455,0,2946,3,11077,5,14680,5,1186,5,9662,1,9692,2,19542,8","26,84174.3515384615,480012,19535.43468071632"
New-Order,3204.168473007809,"15,3,2103,0,48005,10,37910,6,28614,2,59398,10,49134,10,50823,10,22980,1,56278,6,40726,7,48124,8,47117,7,38869,2,24355,7,40726,5,20871,8","25,86063.73199999997,480009,19535.46269715777"
Payment,1937.6739,,"25,85642.12119999998,480012,19535.43468071632"
Payment,1964.7522000000001,,"25,8208.684399999973,480015,19539.45490936742"
Payment,1065.9033,,"25,8348.415199999972,480014,19539.48507278955"
Payment,1255.4027999999998,,"25,8348.415199999972,480014,19539.48507278955"
Delivery,26752.187500000007,"6,0,0","27,7678.8274074073815,480015,19539.45490936742"
Payment,15877.814400000003,,"27,80197.37407407405,480009,19535.46269715777"
New-Order,638.9335486484999,"1,8,1502,0,71754,1,70738,1,71765,5,97268,3,72782,7,69652,4,86570,4,72789,2","26,7745.688076923048,480017,19539.387194328545"
Payment,484.88219999999995,,"26,7937.210384615358,480015,19539.45490936742"
Payment,915.4134000000001,,"25,8208.684399999973,480015,19539.45490936742"
Payment,1271.9025000000001,,"26,7745.688076923048,480017,19539.387194328545"
Payment,1964.7522000000001,,"27,81186.15370370366,480012,19535.43468071632"
Payment,931.7915999999999,,"27,8206.591111111084,480017,19539.387194328545"
New-Order,1076.48897064415,"8,4,2799,0,40916,6,22357,8,55142,4,24773,7,32790,5","25,8846.089199999973,480020,19539.277856339333"
New-Order,1011.56355983508,"1,7,671,0,48914,6,54550,6,37895,1,25038,4,59670,5,39956,4,55060,5","24,8365.469166666639,480022,19539.24051130991"
Payment,1964.7522000000001,,"28,8117.356071428546,480017,19539.387194328545"
Payment,513.6129000000001,,"20,9752.331499999964,480026,19539.089618791495"
Payment,1972.5525,,"19,10205.066842105225,480027,19539.05131109293"
Payment,2090.61,,"23,8703.158260869535,480023,19539.20105357453"
Payment,25831.4751,,"24,9150.09791666664,480021,19539.240380066716"
Payment,9870.5952,,"21,9403.440476190442,480025,19539.125269996366"
Payment,1493.6643000000001,,"22,9047.386363636331,480024,19539.162703281512"
Order-Status,1747.2999999999997,"15,5,0,OUGHTATIONPRI","20,9748.980499999963,480028,19539.01566019067"
Payment,400.65029999999996,,"24,9150.09791666664,480021,19539.240380066716"
Payment,2791.5273000000007,,"14,10261.907857142805,480034,19538.878334097182"
Payment,915.4134000000001,,"25,9150.09791666664,480021,19539.240380066716"
Delivery,1919.8699999999997,"13,0,0","14,10261.907857142805,480034,19538.878334097182"
Delivery,2393.505,"3,0,0","14,10261.907857142805,480034,19538.878334097182"
New-Order,1488.2162847047998,"8,10,2249,0,52654,6,32790,10,49156,7,30738,1,57361,3,48266,8","20,9777.786999999964,480027,19539.05131109293"
New-Order,533.0722783414001,"1,3,70,0,97229,9,70738,8,65555,7,93124,8,96252,6,72678,9,74323,7,97360,9","21,9400.249047619014,480027,19539.05131109293"
New-Order,845.4027426629399,"8,1,1101,0,86850,9,61334,3,89110,6,89138,10,94997,4,96278,8,64214,4,97321,3,88197,6,88147,4,95318,2,65555,8,96333,6,69206,6","14,10261.907857142805,480034,19538.878334097182"
New-Order,931.9364024518798,"6,5,711,0,88974,9,74575,8,84276,1,64038,4,89006,7,84052,3,80469,5,66622,6,64470,1,94765,1,94500,4,68694,8,92038,4,97197,7,72118,10","16,9856.041249999955,480032,19538.93051354911"
Payment,10389.4893,,"23,8695.65695652171,480022,19539.24051130991"
Stock-Level,2612.075,"11,5","19,111149.99210526314,480006,19535.56793258835"
Stock-Level,10944.635000000002,"15,2","26,83222.27769230766,480009,19535.46269715777"
Payment,1964.7522000000001,,"26,7882.159615384588,480016,19539.419187089607"
New-Order,2923.846666159999,"3,4,1119,0,40942,10,32692,10,40916,7,59093,1,44948,4,55230,2,38929,3,47878,2,53201,1,50964,6,34293,10,25430,2","13,11013.236923076867,480035,19538.838661472615"
Payment,16914.4929,,"17,11152.198235294074,480031,19538.90478233699"
New-Order,6236.2890288115195,"3,3,2422,0,2426,1,10118,3,9125,8,5022,4,13198,2","11,12599.600909090841,480037,19538.766789497487"
New-Order,387.65104686,"8,2,863,0,61410,8,80338,1,67667,5,75510,6,63627,1,96662,8","12,11730.498333333271,480037,19538.766789497487"
New-Order,168.12161244479998,"15,6,639,0,93270,4,80982,2,72022,7,80468,9,79958,1","17,11152.198235294074,480031,19538.90478233699"
New-Order,2210.6165062095793,"4,10,2175,0,44566,3,32338,6,22990,3,38854,7,32198,7,20596,7,46694,1,44033,3,23731,9,45579,7","11,12599.600909090841,480037,19538.766789497487"
New-Order,760.522736764,"1,5,1103,0,84820,8,61302,9,64534,2,72788,7,61236,8,67086,7,66128,3","13,10922.676923076866,480037,19538.766789497487"
Delivery,19002.995,"13,0,0","14,9433.992857142804,480038,19538.75280677781"
Payment,22046.345100000002,,"14,9433.992857142804,480038,19538.75280677781"
New-Order,2352.0012011041,"3,6,2399,0,23807,2,24502,6,32273,2,31750,7,49046,2,21322,5,53172,9,55822,2,53203,3,54158,6,38784,5,21449,6,25139,6","14,9517.777142857089,480039,19538.717157314317"
New-Order,1144.42289082352,"13,4,1563,0,65230,8,74710,7,65554,8,61893,9,88714,5,95062,5,97357,3,79829,3,66356,1,72652,3,72790,6","13,9973.098461538404,480039,19538.717157314317"
Payment,995.3442000000001,,"14,9433.992857142804,480038,19538.75280677781"
Payment,1096.8534,,"14,9433.992857142804,480038,19538.75280677781"
Payment,915.4134000000001,,"27,8329.399259259233,480018,19539.35147234063"
New-Order,20248.479489220706,"1,4,1279,0,10846,1,2598,8,13240,1,2981,5,12466,2,14665,9,9146,2,8796,3,1958,4,8942,1,13768,4,6614,2,13749,10","18,7039.081666666625,480040,19538.719955774533"
New-Order,21551.142744949997,"15,7,1375,0,15816,9,4065,9,9245,10,16954,2,13493,9,13789,3,6629,9,2918,5,15830,8,4997,10,13290,7,10650,6,2698,7,4821,1","17,7389.698235294073,480040,19538.719955774533"
New-Order,3377.01578850272,"6,7,699,0,54158,6,47990,9,49173,3,40774,10,31598,10,44938,4,44979,4,39702,1,24021,9,57238,7,30934,5,57350,9,36750,3","14,8641.332142857089,480040,19538.719955774533"
New-Order,2982.6471573821996,"4,1,2157,0,24594,9,53262,7,57297,8,40947,3,55309,9,31766,7,48654,1,38901,6,38900,7,46097,4,54292,8,47606,7,48646,7","18,7039.081666666625,480040,19538.719955774533"
New-Order,1634.9789909653202,"8,3,187,0,52886,6,44822,9,47126,1,49167,3,25302,8,49173,1,44292,1,35982,5,24520,9","16,7631.565624999952,480040,19538.719955774533"
Payment,1498.0869,,"15,9433.992857142804,480038,19538.75280677781"
New-Order,2459.93890473324,"13,5,547,0,36820,2,32722,10,28435,3,34582,7,28182,8,24900,8,40942,10,57013,7,58389,5,48594,5,47013,4,39574,4,40406,2,53270,4,30740,7","17,6003.545294117603,480043,19538.65992888138"
Payment,16353.956700000002,,"18,5731.550555555514,480041,19538.735952304087"
Payment,2982.5415,,"17,6003.545294117603,480043,19538.65992888138"
New-Order,2485.987092460199,"15,10,1399,0,20166,9,53254,6,39808,9,56982,7,25558,5,57203,1,55214,5,39685,6,56326,8,49151,1,32629,1,56770,9,40960,2,48910,2","17,6003.545294117603,480043,19538.65992888138"
Order-Status,35765.65,"13,2,0,ESEESEESE","20,8696.76349999996,480046,19538.586089541426"
Payment,1757.9996999999998,,"14,8641.332142857089,480040,19538.719955774533"
Stock-Level,3363.2000000000007,"8,3","14,10253.449285714232,480037,19538.766789497487"
Stock-Level,6260.085999999999,"15,9","12,11643.812499999938,480036,19538.805137927167"
Payment,6975.606600000001,,"18,9908.442777777736,480044,19538.62158131339"
New-Order,10700.31738858264,"13,4,895,0,2838,8,2462,6,2822,7,17877,5,12702,3,12188,4","20,8728.207499999959,480047,19538.55305853386"
Payment,38458.8891,,"20,9387.692999999961,480044,19538.62158131339"
Payment,24960.627900000003,,"19,9634.397894736801,480044,19538.62158131339"
Payment,2851.0542,,"16,6308.133124999953,480044,19538.62158131339"
Payment,37751.06250000001,,"20,9428.09149999996,480045,19538.584732410513"
New-Order,899.3047388248,"15,4,1853,0,95830,4,72694,5,84052,10,88074,7,80846,10,70358,7,63446,9,65552,6,89173,6,68692,9","20,8728.207499999959,480047,19538.55305853386"
New-Order,30961.986257382177,"11,3,483,0,19224,9,1942,8,15822,5,10198,7,16846,3,10700,6,2694,9,8510,9,9598,3,13778,1,13419,1,1662,4,13644,5,13437,1","19,8960.690526315746,480047,19538.55305853386"
Delivery,5290.537499999999,"3,0,0","20,8728.207499999959,480047,19538.55305853386"
Payment,1269.5292,,"18,7039.081666666625,480040,19538.719955774533"
New-Order,3095.6079744575995,"8,10,2429,0,46078,4,53269,2,38358,10,48052,3,47874,2,57270,6,56686,4,44648,4,48910,5,44881,1,39953,7,23496,9","21,9067.205714285677,480044,19538.62158131339"
New-Order,3954.6087740844996,"15,3,2269,0,57293,9,44918,9,55298,10,57346,5,24142,5,48353,8,32764,8,48981,7,29718,10,49137,10,48974,1,57099,3,28150,1","19,9073.35684210522,480048,19538.516878437167"
New-Order,487.82087137476003,"15,4,1587,0,80822,7,97366,4,95958,5,72554,4,70422,10,65556,10","18,9098.99555555551,480049,19538.494116892245"
Payment,32593.6143,,"16,6216.748749999945,480052,19538.542445068462"
Payment,3808.2879000000007,,"17,6058.10588235289,480051,19538.57581386146"
Payment,4506.4431,,"15,3524.115333333274,480053,19538.598829900046"
New-Order,409.1153418723,"11,5,1531,0,88126,5,97298,3,68486,9,80340,4,76562,9,65488,5,65506,5,80982,3,80810,4,65534,7","17,5556.815294117595,480053,19538.598829900046"
Payment,873.6660000000002,,"16,5806.158749999944,480054,19538.56139394736"
Payment,2829.3381000000004,,"19,9073.35684210522,480048,19538.516878437167"
Payment,2152.5426,,"17,7749.748235294073,480044,19538.62158131339"
Payment,2914.866,,"19,5402.201578947322,480054,19538.56139394736"
Payment,1195.0092,,"16,3389.176874999944,480053,19538.598829900046"
New-Order,228.62513662519993,"6,7,1567,0,96302,2,95190,4,63188,2,70740,7,95301,3,70718,6,72773,6","16,3258.606249999945,480057,19538.544496882674"
New-Order,14496.918135399,"11,7,893,0,9694,10,11354,9,18750,6,2918,1,15270,6,9088,8,2722,2,12766,5","17,3108.9764705881835,480057,19538.544496882674"
Payment,796.9185,,"15,3218.732666666608,480059,19538.47261930306"
New-Order,458.71303076927995,"1,4,1581,0,97364,3,70678,2,79318,4,68628,7,80913,8,70228,7","14,3258.823571428509,480060,19538.437454922314"
Payment,1757.9996999999998,,"17,5852.103529411721,480041,19538.735952304087"
Payment,1105.731,,"19,9541.236842105218,480049,19538.494116892245"
